input_size,trial,comparisons,swaps,time_ns
100,1,0,0,1062600
100,2,0,0,413700
100,3,0,0,471200
100,4,0,0,393400
100,5,0,0,836200
500,1,0,0,1561500
500,2,0,0,746400
500,3,0,0,799400
500,4,0,0,858300
500,5,0,0,2113800
1000,1,0,0,4769100
1000,2,0,0,1039300
1000,3,0,0,1354100
1000,4,0,0,3107200
1000,5,0,0,1051300
5000,1,0,0,3629900
5000,2,0,0,5723600
5000,3,0,0,3662000
5000,4,0,0,6482100
5000,5,0,0,8082700
10000,1,0,0,11183000
10000,2,0,0,6088700
10000,3,0,0,4799500
10000,4,0,0,5921000
10000,5,0,0,5273300
